product_name,nutriscore_grade,nutriscore_score,nova_group,energy-kcal_100g,saturated-fat_100g,sugars_100g,sodium_100g,fruits-vegetables-nuts_100g,fiber_100g,proteins_100g
Multivitamin Fruit & Carrot Juice,d,8.0,1.0,53.0,0.0,12.0,0.008,100.0,0.0,0.3
Broskvový nektar,e,14.0,3.0,51.0,0.0,11.7,0.004,50.0,0.8,0.4
Fromage fondu 24 portions,e,20.0,4.0,244.0,14.0,7.0,0.72,0.0,0.5,9.0
8 Brochettes de dinde nature - Poivrons verts,b,1.0,4.0,117.0,1.6,0.0,0.44,0.0,1.0,15.0
3 Brochettes de Filet de Poulet curry,a,-1.0,4.0,115.0,0.6,0.8,0.44,0.0,1.3,22.0
"Boisson à la pomme, sucrée, aromatisée.",d,7.0,4.0,28.0,0.1,6.7,0.004,30.0,0.0,0.5
Mexican Style Stir Fry Veg Mix,a,0.0,4.0,85.0,2.1,4.2,0.2,91.0,2.6,2.7
Jumbo peanuts,a,-8.0,1.0,624.0,7.0,5.1,0.02,100.0,7.9,27.1
Erdbeer-Konfitüre extra,d,17.0,4.0,257.0,0.1,54.0,0.008,50.0,1.0,0.5
Jus de pomme,c,5.0,1.0,44.0,0.1,10.0,0.0,100.0,0.0,0.1
"Konfitüre Extra, Heidelbeere",d,17.0,4.0,245.0,0.1,56.0,0.016,50.0,2.6,0.5
Chili con carne,c,3.0,4.0,109.0,0.8,1.4,0.352,30.0,2.0,5.1
Jus de pomme Bio naturellement,e,12.0,1.0,47.0,0.1,10.5,0.004,100.0,0.2,0.1
Dosentomaten,a,-5.0,1.0,20.0,0.1,3.0,0.0,60.0,0.8,0.01
Boisson au riz bio,e,14.0,3.0,61.0,0.2,8.5,0.24,99.2,1.8,0.2
Konfitüre extra - Brombeer,d,17.0,4.0,248.0,0.1,56.5,0.004,50.0,1.8,0.6
Haselnusskerne ganz,a,-9.0,1.0,674.0,5.4,6.0,0.004,100.0,7.7,16.3
Tropical à l'eau de source,e,11.0,4.0,40.0,0.1,10.0,0.0,12.0,0.0,0.0
Coleslaw - Salade assaisonnée de chou et carottes râpées,b,2.0,4.0,97.0,0.4,6.2,0.44,69.0,0.0,1.0
